"Reviews","Reviews' Score","Sentiments"
" Istanbul Athens We PNRS luggages PNR means registered luggage charged extra explaining situation They fixed mistake threatened cancel flight paid The funny thing shown system happened Pegasus Athens supposedly taking care call center emailing Turkish literally mailed exceeded luggage allowance give wrong information And supervisor extra people added luggage PNR Which lie people PNR called give luggage mother groups luggage stickers wait make mistake adding PNR So mom received stickers luggage paid Their handling situations literally calling crazy supervisors report matters legal rights frustrating ",-0.65,"1) Very negative"
" I disappointed flight staff overcharged luggage I paid extra luggage app I told I paid extra free included ticket price son allowance dispite paying full adult rates In police called airport I stand ground fortunately policeman good side The staff wasted half hour time plane pay extra After writing Pegasus investigated facts wrong refused refund extra charges They ruined holiday left disheartened travelling ",0.4,"4) Positive"
" Tel Aviv Stansted Istanbul The flight TLVSAWSTN good As expect low cost company The service airplane fact receive cap water free bring water board allowed We preordered food good On back TLV SAW gate boarding tickets scanned stepped sleeve airplane stopped Our bags reweighted asked pay weight We refused pay bags weigted London The team gate aggressive They bags force demanded passports boarding tickets told call police We insisted pay told dangerous airplane cancel flight We told check bag airplane told removed removed After seek Pegasus offices airport tickets office check desks supervisor lady appeared crew gate talked officer front After told They claimed violence dangerous I traveling family adults kids ages Eventually purchased tickets arrived TLV hours We spent night airport kids I fly Pegasus Airlines It team gate part regular gate team adhoc team finished gate thing Stopping passengers gate scanning boarding tickets airplane weighting bags biased scale order money ",-4.25,"1) Very negative"
" Ive travelling wife Dubai Istanbul back I surprised price ticket checked reviews airline I assure price service inside aircraft worth price offering I fully satisfied choosing airline trip Thank ",3.45,"5) Very positive"
" Dubai Tirana It time time I travel airline All souvenir Dubai baggage broken You blanket AC max cold Everything chargeable ridiculous prices My luggage broken traveling The plain smelt horrible toilets dirty",-3.75,"1) Very negative"
" Istanbul Rome The staff Istanbul boarding gate grabbed carryon luggage started weighing I surprised I presented bill currency carrying overweight carryon laptop bag I asked weight carryon answer Another man rude He seized bag asked pay I allowed fly Granted bag weighed water food I bought airport phone mp player wallet camera bags I buy souvenir airport removed refused reweigh bags I pay forfeit bag I eventually gave Amex card bill Lo behold dont Amex I told problem I No cash They insisted cash box threatening prevent flying wife boarded I eventually allowed flight computer bag carryon luggage confiscated I arrived Rome box information collect box I file lost baggage claim This airline I recommend people avoid cost",-4.25,"1) Very negative"
" Dammam Copenhagen Istanbul This boring When wanted check baggage overweight bagage told pay Furthermore hand carry allowed Dammam Airport Airport charged bought stuff dutyfree Dammam Airport handcarry bit overweight This happened boarding time staff member asked check handcarry time final call notification started ticking paid charge",-1.6,"1) Very negative"
" Dubai Istambul Never life I faced rude staff place I preparing check returning flight Dubai The lady check information resident valid ID I enter UAE showing resident stamp passport started calling Duty managers decided I travel I tourist visa ridiculous UAE resident I visa enter So I demand talk manager smart agent aware privileges resident After arguing smart lady angry I put phone desk worker transformed start shouting I taking picture She retaining passport After minutes DM decided I travel",-0.8,"1) Very negative"
" İstanbul Sharja The worst airline Workers rude seat comfortable AC low people sweating You kilograms pay kilogram",-0.85,"1) Very negative"
" Istanbul Dubai Worst airline world Extremely rude Paid luggage nut system Paid seats regular seats Charged extra Run dont walk airline",-0.6,"1) Very negative"
" Istanbul Beirut Crew friendly plane delayed hours explanation Turbulence bad",-1.15,"1) Very negative"
" Beirut Istanbul We left morning We stayed hours flight Istanbul offer free drink snack All drinks snacks priced euros While offer free cup coffee tea",1.4,"5) Very positive"
" Trabzon Izmir Pegasus Airlines I rush online checkin But I give bag baggage check I late ground staff helped I thought I missed boarding time ground staff helped Flight time Price burned wallet No giveaways",-0.55,"1) Very negative"
" Amsterdam Doha Istanbul I traveled seat DF family It exit seats Seats narrow terrible flight Additionally cabin temperature high",-0.75,"1) Very negative"
" The worst From Budapest Beirut Istanbul allowed kgs hand bag I carry bags I bag They made pay euros extra kilos I allowed kilos",-0.2,"2) Negative"
" Izmir Trabzon Pegasus Airlines Flight fast good Most importantly time There treat airline food beverage menu rich Prices high In Turkey Pegasus flight delays Ive experienced ten Cabin crew good",1.2,"5) Very positive"
" First time flying Pegasus Airlines Very impressed I flew SHJSAWSTN outbound return route Airplane modern TV back screen Cabin crew friendly attentive presented approachable They spoke English Safety briefing conducted dual TurkishEnglish Airplane ran time delays Ground staff efficient I booked exit row seat SAWSTN leg provided ample room stretch Even normal seat leg room large grown man Preordered food online gave choice eat board Breakfast tray tasty fresh presented Onboard drinkssnacks whilst expensive good quality fresh Pegasus baggage policy means lot passengers opt check bags cost cabin bag board Some passengers greedy stuff small suitcases cabin hold cabin crew complain caused delays inside plane everyones bags packed seated time",6.7,"5) Very positive"
" Sharjah Amsterdam Ankaraİstanbul We passed registration handed luggage Pegasus employees hand luggage ramp Sports bag weighing And suitcase Flight RS delayed extra urgently Ankara Our plane hours Ankara airport For reasons unknown I time People began leave Ankara About people left plane Accordingly luggage The rest flew Istanbul When leaving I wondered bag hand luggage I told luggage transferred flight A Pegasus representative met explained Some people stayed hotel We Pegasus counter flight Amsterdam There clarified Where bags told You luggage Amsterdam I traveled boyfriend We passed luggage In Amsterdam luggage All pieces baggage Pegasus lost We issued lost baggage counter We told wait days The day large suitcases A day bag hand luggage And day bag In bag personal items shoes outerwear handbags perfume Mood spoiled In Amsterdam forced wear flew ",-2.95,"1) Very negative"
" Stansted Athens Istanbul Decided give airline fare lastminute booking hour connection compared airlines wanting double You mobile boarding pass issues app dont access internet The boarding pass save put booking reference time searching internet connection When Istanbul internet boarding pass fortunately transfer desk printed manual boarding card ounce grief I recommend emailing boarding passes sort issue Its tight seating flight full service basic couldnt care flight hours We main thing Really overpriced food cart make stock basic snacks I thought Istanbul Gokcen great airport transit great food court facilities cheeky stock cheap tobacco transit back Europe The thing care Stansted worst airport surrounds London area Hopefully expand Gatwick someday airline fares low",2.9,"5) Very positive"
" Amsterdam Beirut Istanbul Terrible customer service experience I flight transfer My bag kilos overweight I paid additional euros flight At point I receipt bag sticker told present airport While boarding flight Istanbul I stopped informed cabin bag overweight I showed staff members receipt bag sticker insisted I pay additional euros reduced limited English implied I hurry flight leaving I allowed board paying I flown budget airlines trouble incompetent",-3.25,"1) Very negative"
" Istanbul Stansted Worst customer service Flight delayed hrs proper explanation aircraft cleaned previous flight crew dont speak english greeted entering aircraft hours served drinks snacks end asked ran menu items row Very incompetent staff Will fly Absolutely recommended",0.2,"4) Positive"
" Muscat Vienna Istanbul This worst airline I The flight delayed I missed connection cared The delay minutes wait system I checked plane late At airport office I waiting hour talks Change flight They poorly speak English explain happened finally ",-3.35,"1) Very negative"
" Dubai Istanbul Awful seats Not comfortable hours trip Dubai Istanbul No entertainment chairs back sleep airlines due small spaces chairs Horrible trip Not recommended ",0.3,"4) Positive"
" Tel Aviv Budapest Istanbul Excellent staff service Our flight delayed due technical issues stay overnight Istanbul I express gratitude handling staff air ground Everything ran smoothly efficiant We knew time staff taking care quickly smile Technical issues part life excellent company handles situations We compensated delay time issues Thank Pegasus Definitely choice flight",3.5,"5) Very positive"
" On October I flew Beirut Marseille Istanbul Pegasus Airlines On transit stop I visit business lounge Istanbul airportSAW Was relax wait flight comfort Overall great flight I fly Pegasus chance",1.25,"5) Very positive"
" I flew Pegasus Beirut Istanbul week rude flight attendants It dirty aircraft dirty bathrooms People open air vents heads air Everything airplane money No screen maps No food Moreover day back Beirut changed flight time hour inform missed flight cancelled ticket Beirut made pay ticket However stupid plane booked Middle East Airlines I pay dollars avoid worst airline conditions Ive experienced",-2.65,"1) Very negative"
" Gatwick Dalaman I booked flight months travelling independently Turkey Pegasus price flight times Unfortunately Pegasus site run slow complete booking I booked Olympic Holidays The disadvantage pre book seatsmeals Pegasus Olympic reference Olympic book extras At Gatwick airport check slow hour minutes I asked politely window seat allocated The flight announced scheduled departure Clearly leave time The flight fine cabin staff long time sequence drinks food occur It difficult staff passengers prices Euros Turkish Airline lot routed Euro Zone The crew ran change sterling occurred return flight Passengers assisted I gather crew member uncommon What simply obtain change This considerable amount time Pegasus support crew sufficient float On return journey check late opening I requested window seat man dismissed request seats allocated It bumpy landing Gatwick I decided book journey September Facebook page offering Summer flights However airlines started booking",0.65,"5) Very positive"
" I recently flew Pegasus North Cyprus Turkey Taking advantage pre flight menu I ordered Mushroom Risotto wife ordered Chicken Schnitzel It lost translation My Risotto manifested Ravioli wifes choice sacrificial lamb Never On return journey hoped choose board flight menu sitting row served time food sold loaded We offered duty free drinks menu decided purchase bottles gin Again If airline compete international air travel buck act Next time I travel North Cyprus Short Route South Cyprus endure hours flight Turkey",2.85,"5) Very positive"
" SAWSXF Boarding huge mess They announced people zone A board I zone B I waited called zone B I pax board meant overhead space left Plane packed Aircraft yearold Aneo TCNBE The seat alright recline werent comfortable fly lowcost No IFE overhead screens flight stats Took landed time SXFSAW Boarding mention zones Had seat C A B empty Aircraft yearold B TCCPE seats newer Aneo recline Plane dirty crew minutes clean aircraft I flew Pegasus B plenty times overhead screens flight stats Pegasus removed dont anymore Took time landed early landing rough On flights crew tired care job They werent good English Also thing I noticed flights put plastic soap bottle bought dollar store lavatories",1.65,"5) Very positive"
" Istanbul London It terrible experience I waiting queue check queue long I wait hour I finally reached desk member staff told I check min left flight min advised speak supervisor I speak supervisor dealing unhappy customers At pay attention I talk waiting min told told Pegasus ticket desk I member staff told I arrive earlier airport early She flight London plane full advised check airlines Thank Pegasus great service I buy flight tickets cheap disappointed I wanted save money finally I spent I asked refund Ive told I wasnt present check desk min flight I fly Pegasus I advise ",1.4,"5) Very positive"
" Brussels Beirut Istanbul I avoid min delay broken seat customers terrible caused extra delays I bought minute expensive tickets money good",-2.05,"1) Very negative"
" Dubai Stansted Istanbul Budget airline cramped uncomfortable flight entertainment neck pillows buy half price likes Emirates Etihad However accept types credit card UAE wouldnt work luckily I cash water They plane speedily Not people complaining pay Very friendly staff working provide great service great plane",4.2,"5) Very positive"
" London Izmir You expect low company beats Took back issues flight late information communicated Most disgusting planes tables covered filth washed seat pockets food pieces drink smears Most seats broken I flew front neighbours seat face Toilets smell bonus Basic safety rules disregarded flights hostesses checking passengers seat belt people jumping chairs cruising speed land strictly forbidden English presentation safety rules Turkish The food close vile prices ridiculous euros Captain flight Most seats broken arm rests taped flight plane smelt cigarette looked plane Funny thing tickets cheap Just thankful I I needed piece price flying direct",-2.95,"1) Very negative"
" Amman Antalya It terrible experience broke check bag expensive good quality bag And employees dont aware company rules I resrved business flex I check carry employee check counter asked remove carry bag Honestly terrible",-1.25,"1) Very negative"
" Stansted Dubai Istanbul Pegasus airline worst airline I encountered Although ticket wasnt expensive fancy airlines worth price I personally regret investing money quality airline random airline The seat small constantly touching person leg The staff unbelievably rude helpful I asked air hostess I gonna miss flight I layover man unhelpful doesnt I spoke staff Both flights I delayed hours extremely slow Overall I genuinely dont recommend airline cheaper ",0,"3) Neutral"
" Frankfurt Sharm El Sheikh return Istanbul The ground crew crew friendly professional The checkin tedious Here I recommend early counter Aircraft types Aneo A A The airbuses clean young The Boeing bit older bit worn The seat backs adjusted Boeing The seating comfort For hours I backrest adjustment We weighed measured luggage onboard luggage problems Boarding passes Frankfurt flights You online checkin For seat reservation fee required On return trip boarding pass flight Sharm El Sheikh In Istanbul connecting flight transit counter Early counter queue Onboard service fee normal lowcost airlines The quality good The seat pitch Lufthansa shorthaul level It slightly lower Boeing Airbus Entertainment exist A delay flight approx minutes All flights time Gate made time But announced time gate door Gokcen Airport reputation opinion There lot restaurants shops plenty seating The paths short airport big Cleanliness Staff professional sufficiently friendly Toilets bearable Our luggage arrived intact complete Sharm El Sheikh Frankfurt As experienced Ryanair customer I give Pegasus rating Ryanair extremely annoying additional charges fussy luggage rules permanent advertising board Ryanair flies Boeing comfortable A In addition negative headlines strike All satisfied Pegasus",6,"5) Very positive"
" Istanbul Zurich I approx flight Pegasus Airlines years delayed normal I understand people buy plane ticket low cost expect things free charge",0.15,"4) Positive"
" Istanbul Budapest This absolute worst airline flown I standing ticket check line line check ticket gate half hours The flight ended delayed hours made miss flight Budapest Marrakech And asked refund responsibility flight airline",-0.7,"1) Very negative"
" Istanbul Athens If afford pay bit travel awful airline I check queue hours flight Athens husband kids useless check staff people counter hour half arrived airport The staff unpleasant unhelpful assist checking quicker told follow queue knowing full make flight time Eventually permission supervisor check counter initally asked She upset asked supervisor deliberately made pay extra told remove bag My husband angry payed TL charge run kids make flight awful service people suppose making time flight Pegasus staff training customer service",-1.6,"1) Very negative"
" Bishkek Vienna Istanbul My worst flight delayed slow chaotic No free food drinks hrs long flight If wanna pay prepare chaotic staff commonly change major world currencies The staff helpful attentive Used company due lack competition line I Avoid company guys",-1.2,"1) Very negative"
" Flew Pegasus Airlines Doha Stansted Sabihah Gokcen Not bad budget airline Both flights fairly time staff board werent rude Turkish Airlines Food drink onboard wasnt cheap seats recline standard budget airline mine wifes bags transferred straight problems layover wasnt long",-0.15,"2) Negative"
" Doha Amsterdam Istanbul Pegasus worst customer service airline Constant delays horribly uncomfortable conditions ridiculously expensive addons conceivable standard service If fly airline beware euros international flight Pegasus Pay bit enjoy superior experience company",-2.7,"1) Very negative"
" Bodrum Tehran Istanbul Me friend worst experience Pegasus Istanbul Gokcen Airport SAW staff June Bodrum Tehran hours stop Istanbul As waiting gate Pegasus staff showed shouted hour delay knew Pegasus offer meal flight decided snack bar eat boarding We returned gate half hour surprisingly found closed gate plane boarding bridge place staff plane minutes During exhausting hour stay Gokcen Airport struggled find communicate give information Most staff including Pegasus Pegasus Manager couldnt speak English properly speak Turkish hard communicate Most staff including Pegasus supervisor Pegasus Manager werent helpful repeatedly pay buy tickets day flight We wait chance speak Pegasus supervisor sleepy arrogant young woman slightest idea customer appreciation means The plane luggage Tehran literally left transit passengers personal belongings middle night city place stay Luckily I find Turkish Airline flight Istanbul Atatürk Airport IST Tehran morning decided fly Pegasus cheap noname airlines It worth pay slightly ticket solid wellknown airline understands customers dont trap tricks hidden costs",4,"5) Very positive"
" The worst airline I travelled Flight delayed half hr explanation On boarding flight transpired seat numbers sitting I informed passenger apparently issue seat numbers dont Rude cabin crew Not interested helping job All overhead space full informed cabin crew front cabin find overhead space surely theyre paid I fly Pegasus Airlines worth paying single penny opinion ",0,"3) Neutral"
" Ercan Riyadh Istanbul Pegasus cheap airline expected I worse I expected First I wanted change reservation I website connection flights automatically I called international CS number told make booking flight trip stay Then I emailed CS told reservation void I made booking So I called Cyprus CS number disgruntled employee answered calling bro telling embassy issue embassy When I explain happened hung I answer I filed complaint email I response Cue day flight I arrived hours check slow I ended running plane I late We boarded staff discovered check employees put stickers bags labeling carry fit promptly baggage One passenger ejected plane cabin crew conducted search identify owners bag overhead bins security missed bags row mine",-2.2,"1) Very negative"
" Madrid Athens Istanbul Awful experience Missed connecting flight Athens spending hours transit No announcement made flights announced My announced No staff spoke incomprehensible English alternatives destination At end I pay ticket Madrid ",-1.85,"1) Very negative"
" I returned holiday Pegasus flight Istanbul Stansted April My baggage arrive I spent weeks touch Pegasus resolve issue It nightmare I idea suitcase I Pegasus enquiries I logged website UK call centre I wait response online contact form It bad Pegasus lost luggage place worse acknowledged loss impossible touch They regulated Civil Aviation Authority regulator UK passengers escalate matters ",-1.85,"1) Very negative"
" I nervous fly Pegasus reviews hand luggage I ended pretty good trip flying The flight time crew nice It cramped worse budget airline I carrying backpack purse umbrella jackets issues Barcelona My checked luggage overweight kilo pass My carry kilo dont worry dont weigh check fits sizer thing Istanbul I worried weigh carry checked size Many people looked light carrying kilo Kilo",-1.9,"1) Very negative"
" Bahrain Copenhagen Istanbul Cabin crew rude seats extremely uncomfortable recline space tight passengers noisy They dont provide meals extra fees payable booking snacks sale flight expensive screen kind entertainment The allowed luggage weight airlines",1.25,"5) Very positive"
" Was due return leg flight Ankara Amman pm Flight delayed Then plane towed Then pm general hubbub gate desk Apparently flight cancelled Nobody ground services spoke English I planned make connecting flight Amman Got assistance Had rebook flights final destination attend important meetings This cost Pegasus disclaim responsibility Although Amman routing convenient I airline purpose Cabin crew friendly plane leg dirty The toilet filthy Ashamed airline Irish investment Pegasus Airlines long worst airline experience I I typically fly hours year budget airlines This class Awful experience",-2.55,"1) Very negative"
" Tehran Stansted Istanbul This airline seat small reclining Which make tired Food free The people working inside plane nice Not entertainment tv show flight I recommend ",2.2,"5) Very positive"
" Berlin İstanbul Horrible airline importance customer happiness Super narrow seating small space underneath seat fit bag place hang coat option change angle seating back The hostesses dont stop listen paying The checkin staff laptop backpacks big enter flight pay extra euros check cabin bags luggage We wait checkin queue checked queue Then staff confirmed pay credit card minutes left flight luggage Then side terminal pay card back checkin gate She informed casually sending half hour flight The tickets cheap Pegasus Airlines traveling hell Budget airlines charge extra stuff Pegasus ripping ",1.05,"5) Very positive"
" Samara Istambul The departure cancelled hour departure front desk defined Any compensation Only refund ticket exchange flight place allegedly days Awful company budgetary planes I overpay fly companies reliable pleasant",0.75,"5) Very positive"
" Tel Aviv Istanbul The flight delayed departure apparent reason update online When I board plane wouldnt board plane bag heavy Made pay euros luggage cost euro online checked I I dont luggage back ill court The staff threatening threatening call security I told call told plane",-2,"1) Very negative"
" Antalya Ankara Pegasus Airlines nightmare Just boarding time flight delayed hour Then hour passed delayed hours There explanation delayed I flight Ankara airport Dubai airport I wouldnt make flight delayed I talk staff Pegasus airlines explain I connected flight Ankara airport big possibility I wouldnt make flight I min board airplane landing delayed Since staff care werent helpful I call Pegasus airlines customer service poor english promised Pegasus airlines making flight I land Ankara airport After hours delay finally boarded When I landed Ankara airport airport I told min I make connected flight I call customer service Pegasus Airlines explained delay I make connected flight Basically wasnt problem normal delay responsible I make flight flight hours delayed They couldnt understand responsible I make connected flight shocking promised making time board connected flight I land I fly Pegasus I recommend Their customer service rude lied responsibility In end I pay ticket wait days Ankara finally fly Dubai I reach home celebrate Christmas family",-1.05,"1) Very negative"
" Stansted Istanbul The flight busy spaces overhead lockers put cabin baggage staff gate stewards suitcase told I pick airport However gave baggage tag made note seat attached details handle suitcase Upon arrival Gokcen Istanbul I couldnt find suitcase The lost found airport open case report baggage tag I spent week airport Pegasus search bag Only threatening police investigation Pegasus agreed found bag back London week I chasing response request compensation delayed baggage",-1.9,"1) Very negative"
" Istanbul Gokçen London supposed depart The pilot announced minutes delay due disembarking luggages show passengers However wait exceeded hour announcement They offer free water crew stayed crew area I understand Pegasus low cost carrier sell flight But situation crew offer sell water offering free drinks If choice fly airline taking hour As inflight entertainment reading Pegasus magazine",1.3,"5) Very positive"
" Dubai Istanbul return Pegasus Airlines Worst flight seats small comfortable Aircraft No screens Flight duration hrs minutes And broke luggage Istanbul Dubai flight I fly ",-0.75,"1) Very negative"
" Beirut Amsterdam Istambul I bought ticket December option change return paying extra amount I return date I decided change date today I called office told extra charge dollars showed surcharge dollars internet By time I reached office I told surcharge dollars I decided back internet When I checked extra charge internet climbed dollars I checked regular price ticket dollars means difference buying ticket changing dollars So I decided buy ticket reimbursed When I I discovered reimburse dollars So I learned incompetent staff company making pay extra amount flexibility fact flexible tickets All I avoid company ",1.1,"5) Very positive"
" Dubai Athens Istanbul The worst experience life We waited hrs flight crew attendant simply told happening All passengers angry cancel flights put hotel flight tomorrow morning informed booking answer waiting On top answer call call agency Cheap airline cheap service travel Pegasus",-2.1,"1) Very negative"
" Faultless service Pegasus sectors Athens Bodrum Istanbul Brand planes time ANEO An extremely quiet aircraft No delays Boarding efficiently Planes clean Helpful staff board ground Very good money Will forward flying ",4.25,"5) Very positive"
" Stansted Abu Dhabi Istanbul If dirt cheap flight comfort airline That side Tried checkin hours advance site When I eventually check told check prohibited Called call centre told online checkin British citizens He stated UK government directive The agent airport stated correct So online checkin British citizens apparently When I I select isle seat passengers select seats checkin middle seat So passengers checkin early worst seats Arrived airport hours early spent minutes queue back staring hurt Representative airport heard government directive reading checkin British passport holders So agent truthful cover poor service Check fine delightful lady Plane late departure due excessive checkin timesqueues late aircraft arrival Euro traffic control congestion Turkish airspace All give However departure staff gate pleasant Boeing STN Where buy seats Well disguised wooden bench Very uncomfortable Pointless paying extra legroom I Boeing SAW seat recline pocket put things cushion effect No inflight entertainment The light map window Finally pay Food tea coffee water seat selection ",0.8,"5) Very positive"
" Antalya Kuwait Istanbul Bad experience Pegasus Missed transfer flight airline staff assist pass passport control quickly I told miss plane waited line insisted time catch transfer plane Eventually time wait hours flight No compensation whatsoever provided hotel lounge Airline insisted fault",-1.2,"1) Very negative"
" Athens Ankara Istanbul The reason I purchased ticket time suppose direct flight Months email informing direct flight I stuck ticket My flight suppose hours Athens Ankara As point I waiting hours stuck Istanbul airport ",0.35,"4) Positive"
" Contrary postings happy I Pegasus Airlines Modern airplane Next Gen TCAIS Baghdad Berlin Istanbul time departures friendly cabin staff clean cabin decent seats sufficient legroom Turkish Airlines worse economy reasonable prices half Turkish offered No hassles smooth alternative A B Bring device dont entertainment onboard Will fly great money",5,"5) Very positive"
" Flew Pegasus Düsseldorf Istanbul The flight nightmare The cabin crew unfriendly smiling They inattentive started service row ordering talked colleagues served beverages passengers paying attention forgetting give snacks paid The flight started Germany flight attendant speaking German The cabin dirty small emergency exit row space smaller A I travelled I recommend airline ",-1.25,"1) Very negative"
" This time I fly Pegasus Flew Barcelona Dubai Istanbul After carryons approved Barcelona Pegasus staff Istanbul carrying mobile weighing devices boarding confirms carryons total kgs My carry kgs laptop bag kgs laptop told I pay euros kgs I ended pay euros spot staff incredibly impatient telling multiple times I throw luggage I pay wait make decision final call Her tone manner appalling On flight including water paid Definitely budget airline squeeze penny basic amenities airlines ",0.3,"4) Positive"
" Brussels Charleroi Istanbul I travelled times airline years lastest experience pushed time write negative review Cabin crew unwelcoming individuals The majority employees dont enjoy treated management The amount rude employees appaling I dont I written negative comment service frankly I regret ",-0.6,"1) Very negative"
" Beirut Paris Istanbul My time Pegasus Airlines Let begin helpful office Beirut I asked ticket refundable visa rejected She I ticket flight cost double price My friend asked pay wanted bag lady usd additional kgs bag I dont booked On airplane comfortable God flight long track flight screen flights airplanes screen working The flight attendants dont speak English dont fluent basic English required And head crew English talking fast couldnt understand thing Of dont offer water They dont turn light flight They minutes On back made friend pay euros additional kgs carry Beirut office told extra kgs costs usd And cheap flight cheap services offer Meanwhile direct flight Beirut respectful airline USD expensive booked Pegasus ticket refundable And flight back Beirut delayed hour They bother mentioning gonna miss flight Istanbul Beirut Bad airline bad crew bad service Not recommended",1.1,"5) Very positive"
"Istanbul Doha Pegasus Airlines The price good purchasing ticket online breeze I understand announcements made English crew speaking fast This hour flight scheduled depart hrs arrive hrs cabin lights slightly dimmed flight difficult sleep Air conditioning weak flight seats comfortable",0.35,"4) Positive"
" Istanbul Gokcen London Gatwick I reluctant buy return ticket Istanbul Pegasus Airlines reading previous reviews But suited day times I wanted travel I decided I flying years find fault Pegasus Airlines The communication easy booking timekeeping staff excellent journeys For economy Airline I ",1,"5) Very positive"
" I connected flight ticket Amsterdam Zaporizhya Istanbul SAW The flight Amsterdam Istanbul fine flight Zaporizhya cancelled Airline representative Istanbul SAW airport friendly speak English passengers understand Turkish helped understand whats Representatives reason flight cancelled weather issue Zaporizhya contacting relatives Zaporizhya Ive heard weather fine The procedure taking hotel airport hours lots stress For main question When flight Zaporizhya representatives give clean answer Someone change ticket fly Kharkov back Zaporizhya provided transport airlines dont worry flight arranged day Also passengers received text message apologies Pegasus Airlines cancelled flight due weather issues flight day The day passengers checked HolidayInn hotel receptionist gave information wont flight Zaporizhya check stay hotel night So passengers included Istanbul waiting disappointed Pegasus Airlines service recommend dont mind waste couple days trip",2,"5) Very positive"
" This budget airline mind I problems Pegasus Airlines I paid USD London Gatwick IstanbulSGokcen direct flight Flight left arrived time crew lovely accommodating spoke English Refreshments flight purchase I plan ahead food There flight entertainment long flight honest budget airline I expected I fly ",3.25,"5) Very positive"
" Antalya Frankfurt Istanbul SAW Pegasus Airlines The seat annoying accepted cheap flight ticket price The food sandwich bit bad But arrieved early",-0.8,"1) Very negative"
"Stansted Ercan Istanbul Pegasus Airlines First crew helpful spoke English The Pegasus Cafe booklet shows buy bottles JP Chenet cost euros We wanetd bottles white There white wine left time crew row So asked rose red arrogant young man cheaper price He white understand white left asked I bother matter principle back asked cheaper price told The rudeness crew situation In fact flight left Stansted hours late Somebody stayed plane Istanbul caused delay headcount times pilot missed takeoff time eventually arrived hotel morning pm flight Never Pegasus",-1.45,"1) Very negative"
" London Stansted Gazipasa Istanbul Pegasus Airlines Appalled lack updates poor customer service Flight supposed pm checked left plenty time Finally told pm delayed pm board pm making hour late taking flight connection Istanbul worry When finally arrived Istanbul late information passport control backed Despite airport officials late wanted offer We queues passport control pm We finally asked boarding pass Pegasus unhelpful understatement We told basically tough missed flight round round circles My husband eventually managed find helpful supervisor Pegasus desk pm initially told luggage Gazipasa flight Antalya luggage Something explained wasnt nightmare scenario Pegasus We lost money paying transfer night Gazipasa pay flight Anyway told put morning flight Gazipasa Finally transferred hotel hours sleep finally reaching destination Sunday morning This caused distress ruined experience Pegasus travel back service dont care We werent put situation Pegasus Avoid costs",-5.1,"1) Very negative"
" I fly Ankara Istanbul regularly week due job I fly Pegasus Airlines time due low fares I satisfied service I high expectations I pay fly planes My fight tonight Istanbul Ankara exception sense I overwhelmed quality service I received The plane ANeo literally smell car smell top cabin crew I experience They smiles times professional enforcing flight rules I conceive travel conditions rockbottom rates",1.55,"5) Very positive"
" Dubai Dusseldorf Istanbul I disappointed company The flight supposed leave delayed times Every time provision information par employee airportPegasus explain couple passengers spread information passengers This morning news spread flight cancelled luggage returned Again heard information passengers All left phone number As back home date book expensive replacement flight As service number work email Pegasus customer service reply The day back home I received email wishing good flight August Dubai Dusseldorf Noone communicated booked flight Dubai Dusseldorf time found This exemplary Pegasus communicates customers fails communicate The step back ticket prices paid entitled compensation phone Pegasus agreed transfer money back week After weeks money transferred I contacted customer service mail money First I agreed compensation I couple mails back finally agreed transfer money asked bank details This month calls emails properly replied ",3.2,"5) Very positive"
"London Gatwick Dalaman Pegasus Airlines Awful service received onboard staff rude unhelpful walk point blank ignore There room washing line peg airline pack people No inflight entertainment hour flight I airline ",-1.6,"1) Very negative"
"Manchester Dalaman problems They weigh hand luggage Only delay mins missed slot Cabin crew limited English bother Flight back good left time back Manchester wait mins flight Pegasus fault airport captain humorous wait made I fly ",-2.25,"1) Very negative"
" Do order online extras ticket make printscreens online orders print ticket detailsreceipt Although I Skytrax reviews airline issues keeping extra services people paid I decided give I booked tickets online Pegasus website chose expensive package called Ekstra flexible changecancellation rules seat selection baggage hot meal drink I made online checkin dropped baggage smooth airport flight delayed scheduled case flights SAW airport night I issues preselected seat F purchasing online advertised wider seat leg space fact seat width seats legroom extra simply row righthand plane seats front I recommend paying extra seat As plane I served preordered hot meal schnitzel The cabin crew refused serve free drink I paid online They claimed drinks included package Ekstra I bought package online drink listed free I made printscreen package details showed attendant We argued minutes drink hot meal cold I provided ticket details Pegasus email apparently pdf file mentions hot meal included explicit mention drink When I claimed Ekstra package includes drink showed printscreen attendant started arguing August Pegasus policy changed free drinks issued food anymore Only I insisted I provided ticket receipt purchase date August attendant conceded give free drink By Pegasus journal inflight menu advertise I purchase schnitzel menu drink I online I free coffeetea water Of happen I fight coffee I cola I return flight waiting I guess I ready meal fight ",1.4,"5) Very positive"
" London Gatwick Istanbul Appalling service regard customer service Original flight delayed taking minutes due delays loading baggage result missed slot Given cup water Had children adults Information pilot flight crew virtually existent flying London majority english speakers Turkish I Turkeys equivalent budget airline Ryanair Easyjet million times As result delay missed connection alternative flight delayed hours No free food meals drinks But fellow passenger wanted purchase drink hour They forgot meals drinks I purchased There repercussions level incompetency unprofessionalism",-0.85,"1) Very negative"
" Istanbul Amman Ankara They interest helping customer case I purchase ticket times mistake reason email I purchasing ticket payment succeed wich I understood unsuccessfull purchase So I mistake purchased I found email routine reply send purchase I understand So I ended tickets I cancelled lost I paid Euros A terrible experience I promise travel Company ",0.55,"5) Very positive"
